,Tx Version,Lock Time,Inputs,Outputs,Tx Out Index,Script Length,Sequence,Value,Script Len,Pubkey OP_CODE,Pure Pubkey,ScriptPubkey
0,1,0,1,1,ffffffff Coinbase with special index,8,4294967295,5000000000,67,None Bytes:65 tail_op_code:OP_CHECKSIG ,04d12d96bda280245b466e09dcac7dcce5ec5f785742d451b406d5c10d1859ea6e20dd06bda0ce3ac7a2cbce84eb55ba3f2e53710e8721f4b3a70cbf8256530186,4104d12d96bda280245b466e09dcac7dcce5ec5f785742d451b406d5c10d1859ea6e20dd06bda0ce3ac7a2cbce84eb55ba3f2e53710e8721f4b3a70cbf8256530186ac
1,1,0,5,1,       0,73,4294967295,25000000000,25,OP_DUP OP_HASH160  Bytes:20 tail_op_code:OP_EQUALVERIFY OP_CHECKSIG,592fc3990026334c8c6fb2b9da457179cdb5c688,76a914592fc3990026334c8c6fb2b9da457179cdb5c68888ac
2,1,0,3,1,       0,74,4294967295,15000000000,25,OP_DUP OP_HASH160  Bytes:20 tail_op_code:OP_EQUALVERIFY OP_CHECKSIG,592fc3990026334c8c6fb2b9da457179cdb5c688,76a914592fc3990026334c8c6fb2b9da457179cdb5c68888ac
