,Tx Version,Lock Time,Inputs,Outputs,Tx Out Index,Script Length,Sequence,Value,Script Len,Pubkey OP_CODE,Pure Pubkey,ScriptPubkey
0,1,0,1,1,ffffffff Coinbase with special index,8,4294967295,5000000000,67,None Bytes:65 tail_op_code:OP_CHECKSIG ,0431e1cb363a76c8f15f008026af465f48aaca8bb4c8ce4b3880ec9efa1db59c3a11274f85db20508abd28bae4b10e5d6b871274d86da351a3837895dd4b20dbad,410431e1cb363a76c8f15f008026af465f48aaca8bb4c8ce4b3880ec9efa1db59c3a11274f85db20508abd28bae4b10e5d6b871274d86da351a3837895dd4b20dbadac
1,1,0,1,1,       0,73,4294967295,5000000000,25,OP_DUP OP_HASH160  Bytes:20 tail_op_code:OP_EQUALVERIFY OP_CHECKSIG,6934efcef36903b5b45ebd1e5f862d1b63a99fa5,76a9146934efcef36903b5b45ebd1e5f862d1b63a99fa588ac
2,1,0,1,1,       0,140,4294967295,5000000000,25,OP_DUP OP_HASH160  Bytes:20 tail_op_code:OP_EQUALVERIFY OP_CHECKSIG,6934efcef36903b5b45ebd1e5f862d1b63a99fa5,76a9146934efcef36903b5b45ebd1e5f862d1b63a99fa588ac
3,1,0,1,2,       0,140,4294967295,4999000000,67,None Bytes:65 tail_op_code:OP_CHECKSIG ,04f9804cfb86fb17441a6562b07c4ee8f012bdb2da5be022032e4b87100350ccc7c0f4d47078b06c9d22b0ec10bdce4c590e0d01aed618987a6caa8c94d74ee6dc,4104f9804cfb86fb17441a6562b07c4ee8f012bdb2da5be022032e4b87100350ccc7c0f4d47078b06c9d22b0ec10bdce4c590e0d01aed618987a6caa8c94d74ee6dcac
4,1,0,1,2,       1,73,4294967295,4998000000,67,None Bytes:65 tail_op_code:OP_CHECKSIG ,04f9804cfb86fb17441a6562b07c4ee8f012bdb2da5be022032e4b87100350ccc7c0f4d47078b06c9d22b0ec10bdce4c590e0d01aed618987a6caa8c94d74ee6dc,4104f9804cfb86fb17441a6562b07c4ee8f012bdb2da5be022032e4b87100350ccc7c0f4d47078b06c9d22b0ec10bdce4c590e0d01aed618987a6caa8c94d74ee6dcac
5,1,0,1,2,       1,72,4294967295,4997000000,67,None Bytes:65 tail_op_code:OP_CHECKSIG ,04f9804cfb86fb17441a6562b07c4ee8f012bdb2da5be022032e4b87100350ccc7c0f4d47078b06c9d22b0ec10bdce4c590e0d01aed618987a6caa8c94d74ee6dc,4104f9804cfb86fb17441a6562b07c4ee8f012bdb2da5be022032e4b87100350ccc7c0f4d47078b06c9d22b0ec10bdce4c590e0d01aed618987a6caa8c94d74ee6dcac
