,Tx Version,Lock Time,Inputs,Outputs,Tx Out Index,Script Length,Sequence,Value,Script Len,Pubkey OP_CODE,Pure Pubkey,ScriptPubkey
0,1,0,1,1,ffffffff Coinbase with special index,8,4294967295,5201000000,67,None Bytes:65 tail_op_code:OP_CHECKSIG ,0479ecd6e117cf7333f1dfd2b02cb44d3b658a7e52ebcb722d30a268d0ad1cf15b0820b4a8e936001ea752cf1cd266b6716de974765761e1ff9b683a1038e5924c,410479ecd6e117cf7333f1dfd2b02cb44d3b658a7e52ebcb722d30a268d0ad1cf15b0820b4a8e936001ea752cf1cd266b6716de974765761e1ff9b683a1038e5924cac
1,1,0,1,2,       1,74,4294967295,3293000000,67,None Bytes:65 tail_op_code:OP_CHECKSIG ,04f9804cfb86fb17441a6562b07c4ee8f012bdb2da5be022032e4b87100350ccc7c0f4d47078b06c9d22b0ec10bdce4c590e0d01aed618987a6caa8c94d74ee6dc,4104f9804cfb86fb17441a6562b07c4ee8f012bdb2da5be022032e4b87100350ccc7c0f4d47078b06c9d22b0ec10bdce4c590e0d01aed618987a6caa8c94d74ee6dcac
2,1,0,2,2,       1,74,4294967295,3193000000,67,None Bytes:65 tail_op_code:OP_CHECKSIG ,04f9804cfb86fb17441a6562b07c4ee8f012bdb2da5be022032e4b87100350ccc7c0f4d47078b06c9d22b0ec10bdce4c590e0d01aed618987a6caa8c94d74ee6dc,4104f9804cfb86fb17441a6562b07c4ee8f012bdb2da5be022032e4b87100350ccc7c0f4d47078b06c9d22b0ec10bdce4c590e0d01aed618987a6caa8c94d74ee6dcac
3,1,0,2,2,       1,73,4294967295,3291000000,67,None Bytes:65 tail_op_code:OP_CHECKSIG ,04f9804cfb86fb17441a6562b07c4ee8f012bdb2da5be022032e4b87100350ccc7c0f4d47078b06c9d22b0ec10bdce4c590e0d01aed618987a6caa8c94d74ee6dc,4104f9804cfb86fb17441a6562b07c4ee8f012bdb2da5be022032e4b87100350ccc7c0f4d47078b06c9d22b0ec10bdce4c590e0d01aed618987a6caa8c94d74ee6dcac
