,Tx Version,Lock Time,Inputs,Outputs,Tx Out Index,Script Length,Sequence,Value,Script Len,Pubkey OP_CODE,Pure Pubkey,ScriptPubkey
0,1,0,1,1,ffffffff Coinbase with special index,8,4294967295,5000000000,67,None Bytes:65 tail_op_code:OP_CHECKSIG ,04a1798ce5947b546e769377d0a4db21f6f743442752772e0edca57121d6261c44bcd6adab3693116245ec53bee1336a9961d4819f4aef31599da0cf14612cd3d5,4104a1798ce5947b546e769377d0a4db21f6f743442752772e0edca57121d6261c44bcd6adab3693116245ec53bee1336a9961d4819f4aef31599da0cf14612cd3d5ac
1,1,0,6,1,       0,73,4294967295,30000000000,25,OP_DUP OP_HASH160  Bytes:20 tail_op_code:OP_EQUALVERIFY OP_CHECKSIG,592fc3990026334c8c6fb2b9da457179cdb5c688,76a914592fc3990026334c8c6fb2b9da457179cdb5c68888ac
2,1,0,5,1,       0,73,4294967295,25000000000,25,OP_DUP OP_HASH160  Bytes:20 tail_op_code:OP_EQUALVERIFY OP_CHECKSIG,592fc3990026334c8c6fb2b9da457179cdb5c688,76a914592fc3990026334c8c6fb2b9da457179cdb5c68888ac
