,Tx Version,Lock Time,Inputs,Outputs,Tx Out Index,Script Length,Sequence,Value,Script Len,Pubkey OP_CODE,Pure Pubkey,ScriptPubkey
0,1,0,1,1,ffffffff Coinbase with special index,8,4294967295,5000000000,67,None Bytes:65 tail_op_code:OP_CHECKSIG ,04c33c8c882255f289817bfc2f32be31feb7c7d4e9c816ca1f738248bbde828ddbdc1691c343f794e89fd4cdda4d22294958f859c33f9ffcc0bf1a71badc22b88a,4104c33c8c882255f289817bfc2f32be31feb7c7d4e9c816ca1f738248bbde828ddbdc1691c343f794e89fd4cdda4d22294958f859c33f9ffcc0bf1a71badc22b88aac
1,1,0,5,1,       0,72,4294967295,40000000000,67,None Bytes:65 tail_op_code:OP_CHECKSIG ,041983b57d9c8025aaa81fcc74749e81bdf2fa7b4fe04baee0150f5352c5c9f1197e0346f64179b3912a4a4ff06ad31ef4a38428666d42ef8bddb0ffd9ed2ee383,41041983b57d9c8025aaa81fcc74749e81bdf2fa7b4fe04baee0150f5352c5c9f1197e0346f64179b3912a4a4ff06ad31ef4a38428666d42ef8bddb0ffd9ed2ee383ac
2,1,0,1,1,       0,73,4294967295,40000000000,25,OP_DUP OP_HASH160  Bytes:20 tail_op_code:OP_EQUALVERIFY OP_CHECKSIG,592fc3990026334c8c6fb2b9da457179cdb5c688,76a914592fc3990026334c8c6fb2b9da457179cdb5c68888ac
